2	1.147857757716	37.7865433	-122.472502	129.3257815	2122.936046	1.895	21.03788582	120.2223712	2141.902347	1.895	21.03788582	-61.28253567	20.76356104	-60.59819521	21.03788582	20.76356104	0	0	0	0	0	0
2	1.247857757716	37.78656108	-122.4724989	129.5924971	2120.961874	1.895	20.22741452	123.7311278	2140.321437	1.895	20.22741452	-60.94130129	19.96365794	-61.7770456	20.63265017	20.36360949	0	0	0	0	0	0
2	1.347857757716	37.78657887	-122.4724956	129.8695191	2118.98674	1.895	20.22168695	123.9659116	2138.327476	1.895	20.22168695	-60.93884146	19.95800505	-61.78261724	20.49566243	20.22840801	0	0	0	0	0	0
2	1.447857757716	37.78659658	-122.472492	130.1742768	2117.019668	1.895	20.21693053	124.2006485	2136.333913	1.895	20.21693053	-60.93679818	19.95331065	-61.78714182	20.42597945	20.15963367	0	0	0	0	0	0
2	1.547857757716	37.78661431	-122.4724884	130.4792069	2115.051483	1.895	20.20659667	124.458553	2134.340295	1.895	20.20659667	-60.93235726	19.94311154	-61.79664609	20.3821029	20.11632925	0	0	0	0	0	0
2	1.647857757716	37.78663204	-122.4724848	130.7842742	2113.082412	1.895	20.19946716	124.7275049	2132.352441	1.895	20.19946716	-60.92929207	19.93607499	-61.80293819	20.35166361	20.08628687	0	0	0	0	0	0
2	1.747857757716	37.78664978	-122.4724812	131.0895832	2111.111781	1.895	20.19457839	124.9963752	2130.365192	1.895	20.19457839	-60.92718961	19.93124997	-61.80712534	20.32922286	20.06413874	0	0	0	0	0	0
2	1.847857757716	37.78666754	-122.4724776	131.3950841	2109.139912	1.895	20.19356929	125.2648965	2128.380521	1.895	20.19356929	-60.92675558	19.93025404	-61.80797657	20.31226617	20.04740315	0	0	0	0	0	0
2	1.947857757716	37.78668528	-122.4724741	131.7002352	2107.1703	1.895	20.18803284	125.5337372	2126.393489	1.895	20.18803284	-60.92437385	19.92478978	-61.81256683	20.29846246	20.03377945	0	0	0	0	0	0
2	2.047857757716	37.78670304	-122.4724704	132.0089844	2105.19756	1.895	20.18113814	125.8033301	2124.400898	1.895	20.18113814	-60.9214069	19.91798498	-61.81809182	20.28673003	20.0222	0	0	0	0	0	0
4	2.143255128199	37.78672069	-122.4724662	132.3722195	2103.237543	1.895	39.87531615	126.7714498	2142.717566	1.895	39.87531615	-66.83657659	39.35535958	-64.67321192	39.87531615	39.35535958	0	0	0	0	0	0
2	2.147857757716	37.78672069	-122.4724662	132.3722195	2103.237543	1.895	20.18020869	126.0727827	2122.409344	1.895	20.18020869	-60.92100686	19.91706765	-61.81882023	20.27704627	20.01264251	0	0	0	0	0	0
4	2.243255128199	37.78673835	-122.4724619	132.7357359	2101.276009	1.895	39.86827893	127.0045569	2140.730201	1.895	39.86827893	-66.83504356	39.34841412	-64.67293181	39.87179754	39.35188685	0	0	0	0	0	0
2	2.247857757716	37.78673835	-122.4724619	132.7357359	2101.276009	1.895	20.18064027	126.3423245	2120.41713	1.895	20.18064027	-60.92119262	19.91749361	-61.81848249	20.26901244	20.00471344	0	0	0	0	0	0
4	2.343255128199	37.78675597	-122.4724577	133.0984833	2099.318624	1.895	39.86720543	127.2365289	2138.752513	1.895	39.86720543	-66.83480968	39.34735462	-64.67289106	39.87026684	39.35037611	0	0	0	0	0	0
2	2.347857757716	37.78675597	-122.4724577	133.0984833	2099.318624	1.895	20.1763768	126.623212	2118.427707	1.895	20.1763768	-60.9193574	19.91328573	-61.82178175	20.26188662	19.99768054	0	0	0	0	0	0
4	2.443255128199	37.78677365	-122.4724534	133.4624256	2097.354792	1.895	39.87312217	127.4685013	2136.774821	1.895	39.87312217	-66.83609867	39.35319421	-64.67312216	39.87098067	39.35108063	0	0	0	0	0	0
2	2.447857757716	37.78677365	-122.4724534	133.4624256	2097.354792	1.895	20.17695131	126.9300537	2116.445037	1.895	20.17695131	-60.91960472	19.91385275	-61.821342	20.25581981	19.99169284	0	0	0	0	0	0
4	2.543255128199	37.78679131	-122.4724492	133.8258261	2095.393882	1.895	39.87264012	127.7233678	2134.796768	1.895	39.87264012	-66.83599366	39.35271844	-64.67310274	39.87131256	39.35140819	0	0	0	0	0	0
2	2.547857757716	37.78679131	-122.4724492	133.8258261	2095.393882	1.895	20.17027903	127.2375927	2114.457862	1.895	20.17027903	-60.91673193	19.90726747	-61.82635568	20.25011709	19.98606448	0	0	0	0	0	0
4	2.643255128199	37.78680902	-122.4724449	134.190495	2093.426129	1.895	39.88030402	127.9902314	2132.821502	1.895	39.88030402	-66.83766301	39.36028241	-64.67342415	39.87281114	39.35288723	0	0	0	0	0	0
2	2.647857757716	37.78680902	-122.4724449	134.190495	2093.426129	1.895	20.17158895	127.5449893	2112.471608	1.895	20.17158895	-60.91729599	19.9085603	-61.82538758	20.24520909	19.98122047	0	0	0	0	0	0
4	2.743255128199	37.78682668	-122.4724406	134.5581935	2091.46477	1.895	39.87315738	128.258329	2130.8371	1.895	39.87315738	-66.83610634	39.35322896	-64.67312359	39.8728606	39.35293605	0	0	0	0	0	0
2	2.747857757716	37.78682668	-122.4724406	134.5581935	2091.46477	1.895	20.17363772	127.8515171	2110.490967	1.895	20.17363772	-60.91817815	19.91058236	-61.82385752	20.240999	19.97706529	0	0	0	0	0	0
4	2.843255128199	37.78684436	-122.4724361	134.9460777	2089.501107	1.895	39.87973903	128.5253622	2128.860578	1.895	39.87973903	-66.83753996	39.35972479	-64.67339954	39.87372041	39.35378464	0	0	0	0	0	0
