1	1.119172076066	(26.6976,416.34,1.895)	20.0333	0	20.0333	(0,0,0)
1	1.219172076066	(26.7149,414.484,1.895)	20.183	0	20.183	(0,0,0)
1	1.319172076066	(26.7323,412.619,1.895)	20.3183	0	20.3183	(0,0,0)
1	1.419172076066	(26.7497,410.759,1.895)	20.458	0	20.458	(0,0,0)
1	1.519172076066	(26.767,408.9,1.895)	20.606	0	20.606	(0,0,0)
1	1.619172076066	(26.7844,407.036,1.895)	20.7436	0	20.7436	(0,0,0)
1	1.719172076066	(26.8019,405.169,1.895)	20.8822	0	20.8822	(0,0,0)
1	1.819172076066	(26.8193,403.296,1.895)	21.0134	0	21.0134	(0,0,0)
1	1.919172076066	(26.8368,401.426,1.895)	21.1437	0	21.1437	(0,0,0)
1	2.019172076066	(26.8543,399.552,1.895)	21.28	0	21.28	(0,0,0)
2	2.104964017577	(23.3976,416.3,1.895)	40.2068	0	40.2068	(0,0,0)
1	2.119172076066	(26.8719,397.669,1.895)	21.4079	0	21.4079	(0,0,0)
2	2.204964017577	(23.4163,414.293,1.895)	40.2009	0	40.2009	(0,0,0)
1	2.219172076066	(26.8894,395.788,1.895)	21.5279	0	21.5279	(0,0,0)
2	2.304964017577	(23.435,412.291,1.895)	40.2092	0	40.2092	(0,0,0)
1	2.319172076066	(26.9069,393.911,1.895)	21.6617	0	21.6617	(0,0,0)
2	2.404964017577	(23.4537,410.291,1.895)	40.2078	0	40.2078	(0,0,0)
1	2.419172076066	(26.9246,392.019,1.895)	21.7692	0	21.7692	(0,0,0)
2	2.504964017577	(23.4724,408.289,1.895)	40.2078	0	40.2078	(0,0,0)
1	2.519172076066	(26.9422,390.135,1.895)	21.886	0	21.886	(0,0,0)
2	2.604964017577	(23.4911,406.284,1.895)	40.2045	0	40.2045	(0,0,0)
1	2.619172076066	(26.9598,388.249,1.895)	22.0017	0	22.0017	(0,0,0)
2	2.704964017577	(23.5098,404.274,1.895)	40.1968	0	40.1968	(0,0,0)
1	2.719172076066	(26.9774,386.359,1.895)	22.1152	0	22.1152	(0,0,0)
2	2.804964017577	(23.5286,402.269,1.895)	40.2025	0	40.2025	(0,0,0)
1	2.819172076066	(26.9951,384.466,1.895)	22.232	0	22.232	(0,0,0)
2	2.904964017577	(23.5472,400.27,1.895)	40.205	0	40.205	(0,0,0)
1	2.919172076066	(27.0128,382.564,1.895)	22.3321	0	22.3321	(0,0,0)
2	3.004964017577	(23.566,398.259,1.895)	40.201	0	40.201	(0,0,0)
1	3.019172076066	(27.0306,380.666,1.895)	22.4408	0	22.4408	(0,0,0)
2	3.104964017577	(23.5847,396.251,1.895)	40.2021	0	40.2021	(0,0,0)
1	3.119172076066	(27.0483,378.767,1.895)	22.5506	0	22.5506	(0,0,0)
3	3.125066219154	(26.6976,416.34,1.895)	60.1258	0	60.1258	(0,0,0)
2	3.204964017577	(23.6035,394.245,1.895)	40.2052	0	40.2052	(0,0,0)
1	3.219172076066	(27.0661,376.859,1.895)	22.6526	0	22.6526	(0,0,0)
3	3.225066219154	(26.7164,414.33,1.895)	60.1247	0	60.1247	(0,0,0)
2	3.304964017577	(23.6222,392.233,1.895)	40.2013	0	40.2013	(0,0,0)
1	3.319172076066	(27.0839,374.951,1.895)	22.7523	0	22.7523	(0,0,0)
3	3.325066219154	(26.7351,412.32,1.895)	60.1224	0	60.1224	(0,0,0)
2	3.404964017577	(23.6409,390.229,1.895)	40.2064	0	40.2064	(0,0,0)
1	3.419172076066	(27.1017,373.043,1.895)	22.8525	0	22.8525	(0,0,0)
3	3.425066219154	(26.7539,410.313,1.895)	60.1246	0	60.1246	(0,0,0)
2	3.504964017577	(23.6596,388.23,1.895)	40.207	0	40.207	(0,0,0)
1	3.519172076066	(27.1195,371.132,1.895)	22.9417	0	22.9417	(0,0,0)
3	3.525066219154	(26.7726,408.307,1.895)	60.1187	0	60.1187	(0,0,0)
2	3.604964017577	(23.6783,386.222,1.895)	40.2038	0	40.2038	(0,0,0)
1	3.619172076066	(27.1374,369.223,1.895)	23.0372	0	23.0372	(0,0,0)
3	3.625066219154	(26.7912,406.307,1.895)	60.1224	0	60.1224	(0,0,0)
2	3.704964017577	(23.697,384.22,1.895)	40.2116	0	40.2116	(0,0,0)
1	3.719172076066	(27.1553,367.305,1.895)	23.1295	0	23.1295	(0,0,0)
3	3.725066219154	(26.8099,404.307,1.895)	60.1338	0	60.1338	(0,0,0)
2	3.804964017577	(23.7157,382.216,1.895)	40.2118	0	40.2118	(0,0,0)
1	3.819172076066	(27.1732,365.387,1.895)	23.2151	0	23.2151	(0,0,0)
3	3.825066219154	(26.8287,402.298,1.895)	60.1275	0	60.1275	(0,0,0)
2	3.904964017577	(23.7345,380.207,1.895)	40.2099	0	40.2099	(0,0,0)
1	3.919172076066	(27.1911,363.466,1.895)	23.302	0	23.302	(0,0,0)
3	3.925066219154	(26.8473,400.295,1.895)	60.1326	0	60.1326	(0,0,0)
2	4.004964017577	(23.7532,378.199,1.895)	40.2062	0	40.2062	(0,0,0)
1	4.019172076066	(27.209,361.544,1.895)	23.3837	0	23.3837	(0,0,0)
3	4.025066219154	(26.8661,398.288,1.895)	60.1289	0	60.1289	(0,0,0)
2	4.104964017577	(23.7719,376.195,1.895)	40.2131	0	40.2131	(0,0,0)
1	4.119172076066	(27.2269,359.624,1.895)	23.475	0	23.475	(0,0,0)
3	4.125066219154	(26.8848,396.284,1.895)	60.1367	0	60.1367	(0,0,0)
4	4.141651904734	(26.6976,416.34,1.895)	80.1937	0	80.1937	(0,0,0)
